iter	Passed	Remaining
149	309	1754
150	311	1754
151	313	1751
152	316	1750
153	318	1747
154	320	1746
155	322	1743
156	324	1743
157	326	1741
158	328	1740
159	332	1744
160	334	1744
161	336	1742
162	338	1739
163	341	1739
164	343	1736
165	345	1733
166	347	1731
167	349	1732
168	352	1731
169	354	1729
170	356	1729
171	358	1727
172	360	1725
173	362	1722
174	365	1721
175	367	1719
176	369	1716
177	371	1714
178	373	1711
179	375	1709
180	377	1706
181	379	1703
182	381	1701
183	383	1699
184	385	1697
185	387	1694
186	389	1692
187	391	1689
188	393	1687
189	395	1684
190	397	1683
191	399	1681
192	401	1678
193	403	1676
194	405	1674
195	407	1671
196	409	1669
197	411	1667
198	413	1665
199	415	1662
200	417	1660
201	419	1657
202	421	1656
203	423	1653
204	425	1651
205	428	1650
206	430	1648
207	432	1646
208	434	1643
209	436	1642
210	438	1640
211	440	1637
212	442	1635
213	444	1633
214	446	1630
215	448	1628
216	450	1625
217	452	1624
218	454	1622
219	456	1619
220	458	1617
221	460	1614
222	462	1612
223	464	1610
224	466	1608
225	468	1605
226	470	1603
227	472	1600
228	474	1598
229	477	1597
230	479	1594
231	481	1592
232	483	1589
233	485	1588
234	487	1585
235	489	1583
236	491	1581
237	493	1579
238	495	1577
239	497	1575
240	499	1573
241	501	1571
242	503	1569
243	505	1567
244	507	1565
245	509	1563
246	511	1560
247	513	1558
248	516	1556
249	518	1554
250	520	1552
251	530	1574
252	548	1620
253	552	1621
254	558	1631
255	560	1628
256	562	1625
257	564	1623
258	566	1620
259	568	1617
260	570	1615
261	572	1612
262	575	1611
263	577	1609
264	579	1607
265	581	1604
266	583	1602
267	585	1600
268	588	1597
269	590	1595
270	592	1593
271	594	1590
272	596	1588
273	598	1586
274	600	1583
275	602	1580
276	604	1579
277	607	1577
278	609	1574
279	611	1571
280	613	1569
281	615	1567
282	617	1565
283	619	1562
284	622	1560
285	624	1558
286	626	1556
287	628	1553
288	630	1551
289	632	1549
290	635	1547
291	637	1545
292	639	1542
293	641	1540
294	643	1537
295	645	1535
296	648	1534
297	651	1534
298	653	1532
299	656	1530
300	658	1529
301	661	1528
302	663	1525
303	665	1523
304	667	1520
305	669	1518
306	671	1516
307	673	1514
308	675	1511
309	678	1509
310	680	1506
311	682	1504
312	684	1502
313	686	1499
314	688	1497
315	690	1494
316	692	1492
317	694	1490
318	696	1487
319	699	1485
320	701	1483
321	703	1480
322	705	1478
323	707	1476
324	709	1473
325	711	1471
326	714	1469
327	716	1467
328	718	1465
329	720	1463
330	722	1460
331	724	1458
332	727	1456
333	729	1454
334	731	1452
335	733	1449
336	735	1447
337	737	1445
338	739	1442
339	742	1441
340	744	1439
341	746	1436
342	748	1434
343	750	1432
344	752	1428
345	754	1425
346	756	1423
347	758	1421
348	760	1419
349	762	1416
350	765	1414
351	767	1412
352	769	1410
353	771	1407
354	773	1405
355	775	1403
356	777	1400
357	779	1398
358	782	1396
359	784	1394
360	786	1391
361	788	1389
362	790	1387
363	792	1385
364	794	1382
365	796	1380
366	799	1378
367	801	1376
368	803	1373
369	805	1371
370	807	1369
371	810	1367
372	812	1365
373	815	1364
374	816	1361
375	819	1359
376	821	1358
377	824	1356
378	826	1354
379	828	1351
380	830	1349
381	833	1348
382	835	1345
383	837	1343
384	839	1340
385	841	1338
386	843	1335
387	845	1333
388	847	1331
389	849	1328
390	851	1326
391	853	1323
392	855	1321
393	857	1318
394	859	1316
395	861	1314
396	863	1311
397	865	1309
398	867	1307
399	869	1304
400	871	1302
401	873	1299
402	876	1297
403	878	1295
404	880	1292
405	882	1290
406	884	1288
407	886	1285
408	888	1283
409	890	1281
410	892	1279
411	894	1277
412	897	1275
413	899	1272
414	901	1270
415	903	1267
416	905	1265
417	907	1263
418	909	1261
419	911	1258
420	913	1256
421	915	1254
422	917	1251
423	919	1249
424	921	1246
425	923	1244
426	925	1242
427	927	1240
428	930	1237
429	931	1235
430	933	1232
431	935	1230
432	937	1227
433	939	1225
434	941	1223
435	943	1221
436	945	1218
437	947	1216
438	949	1213
439	951	1211
440	953	1209
441	955	1206
442	958	1204
443	960	1202
444	962	1199
445	964	1197
446	966	1195
447	968	1193
448	970	1190
449	972	1188
450	974	1186
451	976	1183
452	978	1181
453	980	1179
454	982	1176
